filename,gt_age_group,pred_age_group,gt_gender,pred_gender,gt_expression,pred_expression
photo09.jpg,adult,adult,Male,Male,Sad,Sad
photo11.jpg,adult,adult,Female,Male,Happy,Happy
photo17.jpg,adult,elderly,Male,Male,Sad,Happy
photo03.jpg,adult,adult,Female,Male,Happy,Happy
photo13.jpg,adult,adult,Female,Male,Happy,Happy
photo01.jpg,adult,adult,Female,Female,Happy,Happy
photo15.jpg,adult,adult,Male,Male,Sad,Neutral
photo07.jpg,adult,adult,Male,Female,Happy,Sad
photo05.jpg,adult,adult,Female,Male,Happy,Happy
photo18.jpg,adult,adult,Male,Male,Sad,Happy
photo04.jpg,elderly,adult,Female,Female,Sad,Sad
photo19.jpg,adult,adult,Male,Male,Sad,Happy
photo02.jpg,adult,adult,Male,Male,Happy,Happy
photo08.jpg,adult,adult,Male,Male,Happy,Happy
photo06.jpg,adult,adult,Female,Male,Happy,Happy
photo10.jpg,adult,adult,Male,Male,Sad,Neutral
photo12.jpg,adult,adult,Female,Female,Happy,Happy
photo16.jpg,adult,adult,Male,Male,Sad,Neutral
photo14.jpg,adult,adult,Male,Male,Sad,Happy
photo20.jpg,elderly,adult,Female,Male,Happy,Happy
